text,length_bucket,trait,endpoint
我不認同就會說出來,6-12,assertiveness,high
支配談話節奏令我舒適,13-20,assertiveness,high
我自然地成為關注的焦點,13-20,assertiveness,high
害羞不在我的詞典裡,6-12,assertiveness,high
我偏好聆聽，不喜歡出風頭,13-20,assertiveness,low
退縮,1-5,assertiveness,low
我的聲音不重要，聽他人更重要,13-20,assertiveness,low
我在團體中傾向沉默,6-12,assertiveness,low
被動地接受他人決策令我自在,13-20,assertiveness,low
我不善於表達自己的觀點,13-20,assertiveness,low
他人的意見比我的更值信任,13-20,assertiveness,low
我害怕被注意或批評,13-20,assertiveness,low
安靜是我的舒適圈,6-12,assertiveness,low
說話使我緊張,6-12,assertiveness,low
我寧願在幕後工作,6-12,assertiveness,low
言辭的力量不屬於我,13-20,assertiveness,low
聽多於說是我的哲學,6-12,assertiveness,low
我很少主動開啟對話,13-20,assertiveness,low
謙虛讓我避免衝突,6-12,assertiveness,low
我會視情況發言或沉默,13-20,assertiveness,neutral
有時主導，有時配合,6-12,assertiveness,neutral
均衡,1-5,assertiveness,neutral
我既不專制也不被動,6-12,assertiveness,neutral
表達程度視乎環境而定,13-20,assertiveness,neutral
未來一定更好，我非常樂觀,13-20,optimism,high
樂觀,1-5,optimism,high
再大的困難也會過去,6-12,optimism,high
我總是看到事物的光明面,13-20,optimism,high
好事將會發生在我身上,6-12,optimism,high
困境是機會的偽裝,6-12,optimism,high
我相信一切都會最終解決,13-20,optimism,high
問題反而激勵我去突破,13-20,optimism,high
我的人生充滿希望,6-12,optimism,high
失敗只是成功的前置步驟,13-20,optimism,high
我從不絕望，永遠充滿希望,13-20,optimism,high
世界是美好的，值得我去探索,13-20,optimism,high
樂觀幫我度過難關,6-12,optimism,high
我相信運氣會眷顧我,6-12,optimism,high
未來充滿可能性,6-12,optimism,high
事情很少如預期發展,6-12,optimism,low
悲觀,1-5,optimism,low
我對未來沒什麼信心,6-12,optimism,low
壞事總會發生在我身上,6-12,optimism,low
希望往往只是幻想,6-12,optimism,low
困難會壓垮我,6-12,optimism,low
我總是看到問題而非機會,13-20,optimism,low
失敗就是失敗，沒什麼好的一面,13-20,optimism,low
我的人生充滿失望,6-12,optimism,low
世界是危險的，充滿不確定性,13-20,optimism,low
樂觀在我看來是不切實際,13-20,optimism,low
我很難相信好事會發生,13-20,optimism,low
前路晦暗無光,6-12,optimism,low
我對改變沒有期待,6-12,optimism,low
命運總是不利於我,6-12,optimism,low
我有時樂觀，有時悲觀,13-20,optimism,neutral
看情況而定，我是現實主義者,13-20,optimism,neutral
平衡,1-5,optimism,neutral
未來既有機會也有風險,13-20,optimism,neutral
我接受生活的起伏,6-12,optimism,neutral
我能長期堅持一件困難的事,6-12,risk_aversion,high
風險令我卻步，我選擇安全,13-20,risk_aversion,high
保守,1-5,risk_aversion,high
我總是尋求最安全的選項,13-20,risk_aversion,high
失敗的代價太高，我不願冒險,13-20,risk_aversion,high
穩定勝過一切刺激,6-12,risk_aversion,high
我害怕未知的後果,6-12,risk_aversion,high
安全第一是我的原則,6-12,risk_aversion,high
我寧願放棄機會也不冒風險,13-20,risk_aversion,high
謹慎的人活得最久,6-12,risk_aversion,high
我不能容忍不確定性,13-20,risk_aversion,high
最糟的結果總在我的腦海,13-20,risk_aversion,high
風險就是災難的前兆,6-12,risk_aversion,high
我對自己的能力沒有信心,13-20,risk_aversion,high
保護自己比嘗試新事物更重要,13-20,risk_aversion,high
我願意接受風險以換取回報,13-20,risk_aversion,low
冒險,1-5,risk_aversion,low
做事不計風險是我的作風,13-20,risk_aversion,low
機會難得，風險值得承受,13-20,risk_aversion,low
大膽是成功的必要條件,6-12,risk_aversion,low
我不害怕失敗的後果,6-12,risk_aversion,low
刺激勝過安全,6-12,risk_aversion,low
沒有冒險就沒有成長,6-12,risk_aversion,low
我相信自己能處理任何風險,13-20,risk_aversion,low
活著就是承受風險,6-12,risk_aversion,low
謹慎只會導致平庸,6-12,risk_aversion,low
我尋求高風險高回報的機會,13-20,risk_aversion,low
未知是機會而非威脅,6-12,risk_aversion,low
恐懼不是我的限制,6-12,risk_aversion,low
風險激發我的潛能,6-12,risk_aversion,low
我會評估風險再決定,6-12,risk_aversion,neutral
有些情況我接受風險，有些則否,13-20,risk_aversion,neutral
均衡,1-5,risk_aversion,neutral
風險與回報需要權衡,13-20,risk_aversion,neutral
我根據具體情況判斷,6-12,risk_aversion,neutral
我不信任陌生人的好意,6-12,suspicion,high
懷疑,1-5,suspicion,high
人心險惡，我時刻警覺,6-12,suspicion,high
每個人都有隱藏的動機,6-12,suspicion,high
我傾向於相信人會背叛我,13-20,suspicion,high
他人的言辭很難讓我相信,13-20,suspicion,high
信任是奢侈品，我無法承受,13-20,suspicion,high
我總是尋找陷阱和欺騙,13-20,suspicion,high
人都是自私的，包括你,6-12,suspicion,high
我必須不斷驗證他人的真實性,13-20,suspicion,high
表面和善往往隱藏不良意圖,13-20,suspicion,high
信任只會讓我受傷,6-12,suspicion,high
我對他人保持高度警惕,13-20,suspicion,high
被欺騙過一次就夠了,6-12,suspicion,high
我寧可多疑也不要被騙,6-12,suspicion,high
人性本善，我願意相信大多數人,13-20,suspicion,low
信任,1-5,suspicion,low
我傾向於相信他人的善意,13-20,suspicion,low
我很容易信任他人,6-12,suspicion,low
給他人機會是我的哲學,13-20,suspicion,low
大多數人都值得被信任,6-12,suspicion,low
我假設他人都是誠實的,13-20,suspicion,low
懷疑會消耗我的能量,6-12,suspicion,low
相信他人讓生活更美好,13-20,suspicion,low
我喜歡相信世上有善良的人,13-20,suspicion,low
被騙也比總是懷疑好,6-12,suspicion,low
我容易與人建立良好關係,13-20,suspicion,low
信任是我與他人連結的基礎,13-20,suspicion,low
他人一般不會傷害無辜的我,13-20,suspicion,low
我對人類的善良充滿信心,13-20,suspicion,low
我會在信任和警惕間平衡,13-20,suspicion,neutral
我信任某些人，懷疑其他人,13-20,suspicion,neutral
均衡,1-5,suspicion,neutral
取決於他人的表現,6-12,suspicion,neutral
我既不過度信任也不過度懷疑,13-20,suspicion,neutral
我能長期堅持一件困難的事,13-20,endurance,high
堅持,1-5,endurance,high
困難不會擊倒我，我會堅持到底,13-20,endurance,high
我有無限的耐心和毅力,13-20,endurance,high
放棄不在我的選項中,6-12,endurance,high
我能忍耐痛苦直到成功,13-20,endurance,high
耐久力是我最強的特質,6-12,endurance,high
馬拉松而非衝刺是我的風格,13-20,endurance,high
我習慣於長期的辛苦工作,13-20,endurance,high
堅韌讓我克服每一個障礙,13-20,endurance,high
我不會因為困難而中途放棄,13-20,endurance,high
耐心和決心是我的武器,6-12,endurance,high
我可以忍受任何考驗,6-12,endurance,high
堅持不懈是我的品質,6-12,endurance,high
困難越大我越想征服它,6-12,endurance,high
做事缺乏耐心，遇到困難就放棄,13-20,endurance,low
放棄,1-5,endurance,low
我無法長期堅持困難的任務,13-20,endurance,low
困難會讓我想退縮,6-12,endurance,low
耐心不是我的強項,6-12,endurance,low
我很快會感到疲憊,6-12,endurance,low
長期的努力令我感到筋疲力盡,13-20,endurance,low
我不擅長堅持,6-12,endurance,low
我容易被挫折擊倒,6-12,endurance,low
持久力差是我的弱點,6-12,endurance,low
我無法忍耐痛苦或不適,13-20,endurance,low
短期衝刺比長期堅持更適合我,13-20,endurance,low
困難中途放棄是常見的事,13-20,endurance,low
我沒有持久的動力,6-12,endurance,low
馬上放棄會更輕鬆,6-12,endurance,low
有時堅持，有時放棄,6-12,endurance,neutral
我的耐心因情況而異,13-20,endurance,neutral
平衡,1-5,endurance,neutral
視任務的重要性而定,13-20,endurance,neutral
我既不特別堅韌也不輕易放棄,13-20,endurance,neutral
我喜歡隨機應變，不按計劃行事,13-20,randomness,high
隨性,1-5,randomness,high
結構化的日程令我窒息,6-12,randomness,high
我討厭被固定的計劃束縛,13-20,randomness,high
臨時改變對我來說很正常,13-20,randomness,high
計劃會限制我的自由,6-12,randomness,high
我喜歡隨著感覺走,6-12,randomness,high
混亂比秩序更適合我,6-12,randomness,high
我無法長時間遵循同樣的模式,13-20,randomness,high
多樣性和變化是我的氧氣,13-20,randomness,high
重複的日常會讓我抓狂,13-20,randomness,high
我的生活充滿驚喜和偏離,13-20,randomness,high
計劃通常被我完全打亂,6-12,randomness,high
靈活性是我的優勢,6-12,randomness,high
我永遠無法按時完成計劃,13-20,randomness,high
穩定規律的生活讓我感到安心,13-20,randomness,low
秩序,1-5,randomness,low
我需要結構化的日程和計劃,13-20,randomness,low
預測性讓我感到安全,6-12,randomness,low
我遵循既定的計劃和流程,6-12,randomness,low
常規對我很重要,6-12,randomness,low
混亂會令我焦慮,6-12,randomness,low
我喜歡知道接下來會發生什麼,13-20,randomness,low
每天重複相同的事讓我舒適,13-20,randomness,low
計劃周密帶給我安定感,13-20,randomness,low
我無法接受突如其來的改變,13-20,randomness,low
秩序和可預測性是我的安全毯,13-20,randomness,low
我遵循嚴格的日常習慣,6-12,randomness,low
我討厭驚喜和臨時改變,6-12,randomness,low
規律的生活讓我高效生產,6-12,randomness,low
我既喜歡計劃也享受隨性,13-20,randomness,neutral
有時我遵循計劃，有時隨意,13-20,randomness,neutral
平衡,1-5,randomness,neutral
我在秩序和混亂間找到平衡,13-20,randomness,neutral
視情況而定我選擇秩序或靈活,13-20,randomness,neutral
穩定規律的生活讓我感到安心,13-20,stability_seeking,high
穩定,1-5,stability_seeking,high
我尋求生活的連貫性和一致性,13-20,stability_seeking,high
變化令我不安，我渴望穩定,13-20,stability_seeking,high
我喜歡事物保持原樣,6-12,stability_seeking,high
突然的改變讓我感到恐懼,13-20,stability_seeking,high
穩定是我幸福的基礎,6-12,stability_seeking,high
我需要知道明天會和今天一樣,13-20,stability_seeking,high
變動的環境令我困惑,6-12,stability_seeking,high
我渴望一個可控且可預測的世界,13-20,stability_seeking,high
常規和習慣給我安定感,6-12,stability_seeking,high
動盪不安是我最大的恐懼,13-20,stability_seeking,high
我無法適應急速的變化,13-20,stability_seeking,high
穩定關係是我的優先事項,13-20,stability_seeking,high
秩序讓我感到被保護,6-12,stability_seeking,high
我喜歡隨機應變，不按計劃行事,13-20,stability_seeking,low
變動,1-5,stability_seeking,low
變化是生活的香料，我擁抱它,13-20,stability_seeking,low
穩定的生活對我來說太無聊,13-20,stability_seeking,low
我尋求常數的變化和興奮,13-20,stability_seeking,low
動態環境激發我的最佳表現,13-20,stability_seeking,low
我適應變化的能力很強,6-12,stability_seeking,low
未知的未來對我很有吸引力,13-20,stability_seeking,low
穩定會讓我感到被困,6-12,stability_seeking,low
我喜歡新鮮和不同,6-12,stability_seeking,low
重複和例行讓我感到厭倦,6-12,stability_seeking,low
變革是進步的引擎,6-12,stability_seeking,low
我很容易適應新環境,6-12,stability_seeking,low
動盪令人興奮,6-12,stability_seeking,low
一成不變是死亡,6-12,stability_seeking,low
我既尋求穩定也接受變化,13-20,stability_seeking,neutral
有時我需要穩定，有時需要變化,13-20,stability_seeking,neutral
平衡,1-5,stability_seeking,neutral
我根據情況調整對穩定的需求,13-20,stability_seeking,neutral
穩定和變化都有其價值,13-20,stability_seeking,neutral
探索未知事物是我最大樂趣,13-20,curiosity,high
好奇心,1-5,curiosity,high
我充滿好奇心，什麼都想嘗試,13-20,curiosity,high
我喜歡學習新事物和新技能,13-20,curiosity,high
未知領域吸引著我,6-12,curiosity,high
我總是想知道為什麼和如何,13-20,curiosity,high
探索的慾望驅動我的行動,6-12,curiosity,high
我對生活充滿疑問和興趣,13-20,curiosity,high
新事物令我興奮和著迷,6-12,curiosity,high
我無法抗拒探索的衝動,13-20,curiosity,high
求知欲是我的燃料,6-12,curiosity,high
我喜歡不斷學習和發現,13-20,curiosity,high
未知總是比已知更吸引我,13-20,curiosity,high
我是天生的探險家,6-12,curiosity,high
冒險和探索是我的生命意義,13-20,curiosity,high
熟悉的環境才讓我有安全感,13-20,curiosity,low
無聊,1-5,curiosity,low
我對新事物沒什麼興趣,6-12,curiosity,low
已知的更令我安心,6-12,curiosity,low
探索不是我的優先事項,6-12,curiosity,low
我滿足於現有的知識,6-12,curiosity,low
新事物往往讓我感到困惑,13-20,curiosity,low
我不喜歡學新技能,6-12,curiosity,low
重複而熟悉的任務更適合我,13-20,curiosity,low
變化帶來的不確定性令我焦慮,13-20,curiosity,low
我缺乏探索的衝動,6-12,curiosity,low
未知對我來說是威脅而非機會,13-20,curiosity,low
求知欲不是我的特質,6-12,curiosity,low
我寧願待在舒適區,6-12,curiosity,low
我對新領域的探索沒有興趣,13-20,curiosity,low
我既喜歡探索也享受穩定,13-20,curiosity,neutral
有時好奇，有時滿足於現狀,13-20,curiosity,neutral
平衡,1-5,curiosity,neutral
我根據情況決定是否探索,13-20,curiosity,neutral
求知欲和滿足感在我內平衡,13-20,curiosity,neutral
直覺行動,1-5,impulsiveness,high
冒險成癮,1-5,impulsiveness,high
試試看,1-5,impulsiveness,high
謹慎為上,1-5,impulsiveness,low
計劃周密,1-5,impulsiveness,low
三思而後行,1-5,impulsiveness,low
我要掌控,1-5,assertiveness,high
領導者氣質,1-5,assertiveness,high
無所畏懼,1-5,assertiveness,high
沉默是金,1-5,assertiveness,low
傾聽他人,1-5,assertiveness,low
內向安靜,1-5,assertiveness,low
永遠樂觀,1-5,optimism,high
困難過去,1-5,optimism,high
好運降臨,1-5,optimism,high
事與願違,1-5,optimism,low
前路黑暗,1-5,optimism,low
只見困難,1-5,optimism,low
堅持到底,1-5,endurance,high
越戰越勇,1-5,endurance,high
決不放棄,1-5,endurance,high
容易放棄,1-5,endurance,low
害怕困難,1-5,endurance,low
沒耐心,1-5,endurance,low
不信任人,1-5,suspicion,high
人心叵測,1-5,suspicion,high
有所隱瞞,1-5,suspicion,high
性本善,1-5,suspicion,low
相信善意,1-5,suspicion,low
容易相信,1-5,suspicion,low
隨性即可,1-5,randomness,high
拒絕計劃,1-5,randomness,high
常改計劃,1-5,randomness,high
規律安心,1-5,randomness,low
需要計劃,1-5,randomness,low
可預測安全,1-5,randomness,low
穩定舒適,1-5,stability_seeking,high
保持一致,1-5,stability_seeking,high
害怕變化,1-5,stability_seeking,high
求變求新,1-5,stability_seeking,low
擁抱變化,1-5,stability_seeking,low
反感無聊,1-5,stability_seeking,low
探索樂趣,1-5,curiosity,high
充滿好奇,1-5,curiosity,high
未知吸引,1-5,curiosity,high
熟悉安全,1-5,curiosity,low
對新事物冷淡,1-5,curiosity,low
現狀滿足,1-5,curiosity,low
接受風險,1-5,risk_aversion,low
冒險心強,1-5,risk_aversion,low
不計風險,1-5,risk_aversion,low
風險卻步,1-5,risk_aversion,high
保守穩妥,1-5,risk_aversion,high
最安全選項,1-5,risk_aversion,high
冒險,1-5,impulsiveness,high
衝動,1-5,impulsiveness,high
快樂,1-5,impulsiveness,high
躍躍欲試,1-5,impulsiveness,high
迫不及待,1-5,impulsiveness,high
謹慎,1-5,impulsiveness,low
思考,1-5,impulsiveness,low
等待,1-5,impulsiveness,low
延遲,1-5,impulsiveness,low
暫停,1-5,impulsiveness,low
主導,1-5,assertiveness,high
領導,1-5,assertiveness,high
掌控,1-5,assertiveness,high
聲音,1-5,assertiveness,high
主張,1-5,assertiveness,high
退縮,1-5,assertiveness,low
聆聽,1-5,assertiveness,low
沉默,1-5,assertiveness,low
被動,1-5,assertiveness,low
配合,1-5,assertiveness,low
樂觀,1-5,optimism,high
希望,1-5,optimism,high
光明,1-5,optimism,high
相信,1-5,optimism,high
美好,1-5,optimism,high
悲觀,1-5,optimism,low
絕望,1-5,optimism,low
黑暗,1-5,optimism,low
失望,1-5,optimism,low
困難,1-5,optimism,low
風險,1-5,risk_aversion,low
冒險,1-5,risk_aversion,low
大膽,1-5,risk_aversion,low
嘗試,1-5,risk_aversion,low
機會,1-5,risk_aversion,low
保守,1-5,risk_aversion,high
安全,1-5,risk_aversion,high
謹慎,1-5,risk_aversion,high
規避,1-5,risk_aversion,high
穩妥,1-5,risk_aversion,high
懷疑,1-5,suspicion,high
警惕,1-5,suspicion,high
不信,1-5,suspicion,high
防範,1-5,suspicion,high
謹防,1-5,suspicion,high
信任,1-5,suspicion,low
相信,1-5,suspicion,low
善良,1-5,suspicion,low
開放,1-5,suspicion,low
坦誠,1-5,suspicion,low
堅持,1-5,endurance,high
耐心,1-5,endurance,high
不屈,1-5,endurance,high
韌性,1-5,endurance,high
毅力,1-5,endurance,high
放棄,1-5,endurance,low
退縮,1-5,endurance,low
疲倦,1-5,endurance,low
無力,1-5,endurance,low
無奈,1-5,endurance,low
隨性,1-5,randomness,high
靈活,1-5,randomness,high
變化,1-5,randomness,high
自由,1-5,randomness,high
即興,1-5,randomness,high
秩序,1-5,randomness,low
規律,1-5,randomness,low
計劃,1-5,randomness,low
固定,1-5,randomness,low
常規,1-5,randomness,low
穩定,1-5,stability_seeking,high
規律,1-5,stability_seeking,high
安定,1-5,stability_seeking,high
連貫,1-5,stability_seeking,high
可靠,1-5,stability_seeking,high
變動,1-5,stability_seeking,low
不安,1-5,stability_seeking,low
混亂,1-5,stability_seeking,low
動蕩,1-5,stability_seeking,low
跌宕,1-5,stability_seeking,low
好奇,1-5,curiosity,high
探索,1-5,curiosity,high
發現,1-5,curiosity,high
求知,1-5,curiosity,high
冒險,1-5,curiosity,high
無聊,1-5,curiosity,low
滿足,1-5,curiosity,low
平靜,1-5,curiosity,low
知足,1-5,curiosity,low
安穩,1-5,curiosity,low
