text,source,trait_tags,notes
期待只會帶來失望,seed_batch,optimism,endpoint=low;bucket=6-12
幸運從來輪不到我,seed_batch,optimism,endpoint=low;bucket=6-12
我已學會不抱期望,seed_batch,optimism,endpoint=low;bucket=6-12
就算努力了結果也不會如我所願,seed_batch,optimism,endpoint=low;bucket=13-20
我習慣在開始前就預設失敗收場,seed_batch,optimism,endpoint=low;bucket=13-20
計劃總有意外打亂最後還是白費,seed_batch,optimism,endpoint=low;bucket=13-20
我已習慣失望所以不再對任何事有期待,seed_batch,optimism,endpoint=low;bucket=13-20
樂觀的人只是不了解現實有多殘酷,seed_batch,optimism,endpoint=low;bucket=13-20
我的經驗告訴我好結果只是偶然,seed_batch,optimism,endpoint=low;bucket=13-20
不論多努力結果通常都不如預期,seed_batch,optimism,endpoint=low;bucket=13-20
我看不到這件事有任何值得期待的可能,seed_batch,optimism,endpoint=low;bucket=13-20
前方阻礙太多讓我看不到任何希望,seed_batch,optimism,endpoint=low;bucket=13-20
我已接受美好的事不會屬於我,seed_batch,optimism,endpoint=low;bucket=13-20
期待美好反而讓失落時更加痛苦,seed_batch,optimism,endpoint=low;bucket=13-20
我對未來沒什麼期望現實太殘酷,seed_batch,optimism,endpoint=low;bucket=13-20
看著眼前情況找不到任何樂觀的理由,seed_batch,optimism,endpoint=low;bucket=13-20
不管表面多樂觀內心我知道不會變好,seed_batch,optimism,endpoint=low;bucket=13-20
先存疑,seed_batch,suspicion,endpoint=high;bucket=1-5
動機疑,seed_batch,suspicion,endpoint=high;bucket=1-5
查清楚,seed_batch,suspicion,endpoint=high;bucket=1-5
多懷疑,seed_batch,suspicion,endpoint=high;bucket=1-5
不輕信,seed_batch,suspicion,endpoint=high;bucket=1-5
保持警戒,seed_batch,suspicion,endpoint=high;bucket=1-5
我不輕易相信別人,seed_batch,suspicion,endpoint=high;bucket=6-12
背後一定有目的,seed_batch,suspicion,endpoint=high;bucket=6-12
他說的不一定真,seed_batch,suspicion,endpoint=high;bucket=6-12
我先求證再相信,seed_batch,suspicion,endpoint=high;bucket=6-12
好意背後有算盤,seed_batch,suspicion,endpoint=high;bucket=6-12
凡事多想一層再決,seed_batch,suspicion,endpoint=high;bucket=6-12
對方意圖讓我起疑,seed_batch,suspicion,endpoint=high;bucket=6-12
任何主動親切都讓我思考是否有目的,seed_batch,suspicion,endpoint=high;bucket=13-20
相信別人之前先確認對方的動機,seed_batch,suspicion,endpoint=high;bucket=13-20
就算是朋友也不輕易相信每句話,seed_batch,suspicion,endpoint=high;bucket=13-20
多查證多懷疑是保護自己的原則,seed_batch,suspicion,endpoint=high;bucket=13-20
太好的事情背後一定有未知條件,seed_batch,suspicion,endpoint=high;bucket=13-20
我習慣先想清楚別人接近我的動機,seed_batch,suspicion,endpoint=high;bucket=13-20
被欺騙的恐懼讓我在信任前非常謹慎,seed_batch,suspicion,endpoint=high;bucket=13-20
人性本善,seed_batch,suspicion,endpoint=low;bucket=1-5
先相信,seed_batch,suspicion,endpoint=low;bucket=1-5
坦然待人,seed_batch,suspicion,endpoint=low;bucket=1-5
願意信任,seed_batch,suspicion,endpoint=low;bucket=1-5
不多疑,seed_batch,suspicion,endpoint=low;bucket=1-5
開放心態,seed_batch,suspicion,endpoint=low;bucket=1-5
我對人有基本信任,seed_batch,suspicion,endpoint=low;bucket=6-12
大多數人都是好意,seed_batch,suspicion,endpoint=low;bucket=6-12
不需要懷疑每個人,seed_batch,suspicion,endpoint=low;bucket=6-12
我願意給別人機會,seed_batch,suspicion,endpoint=low;bucket=6-12
我不把人往壞處想,seed_batch,suspicion,endpoint=low;bucket=6-12
我選擇先相信再說,seed_batch,suspicion,endpoint=low;bucket=6-12
對人坦誠才能建立信任,seed_batch,suspicion,endpoint=low;bucket=6-12
我相信大多數人不會惡意欺騙我,seed_batch,suspicion,endpoint=low;bucket=13-20
雖偶爾被辜負但仍選擇先信他人,seed_batch,suspicion,endpoint=low;bucket=13-20
對他人保持信任讓我交到很多朋友,seed_batch,suspicion,endpoint=low;bucket=13-20
我不因一次不好的經驗就懷疑所有人,seed_batch,suspicion,endpoint=low;bucket=13-20
以開放心態對待別人是我的生活方式,seed_batch,suspicion,endpoint=low;bucket=13-20
我相信信任是彼此最珍貴的連結,seed_batch,suspicion,endpoint=low;bucket=13-20
沒有明確理由我選擇相信別人誠意,seed_batch,suspicion,endpoint=low;bucket=13-20
撐下去,seed_batch,endurance,endpoint=high;bucket=1-5
不放棄,seed_batch,endurance,endpoint=high;bucket=1-5
繼續走,seed_batch,endurance,endpoint=high;bucket=1-5
堅持住,seed_batch,endurance,endpoint=high;bucket=1-5
永不停,seed_batch,endurance,endpoint=high;bucket=1-5
咬牙撐,seed_batch,endurance,endpoint=high;bucket=1-5
無論多難我不放棄,seed_batch,endurance,endpoint=high;bucket=6-12
再辛苦也要走全程,seed_batch,endurance,endpoint=high;bucket=6-12
我的耐性超乎想像,seed_batch,endurance,endpoint=high;bucket=6-12
不到終點不罷手,seed_batch,endurance,endpoint=high;bucket=6-12
漫長過程難不了我,seed_batch,endurance,endpoint=high;bucket=6-12
我能忍受長期不確定,seed_batch,endurance,endpoint=high;bucket=6-12
堅持是我最大的優點,seed_batch,endurance,endpoint=high;bucket=6-12
即使看不到終點也繼續向前走不回頭,seed_batch,endurance,endpoint=high;bucket=13-20
在沒有立即回報情況下我能長期堅持,seed_batch,endurance,endpoint=high;bucket=13-20
面對長期重複的工作我依然保持動力,seed_batch,endurance,endpoint=high;bucket=13-20
困難再大只要我堅持最終能找到出路,seed_batch,endurance,endpoint=high;bucket=13-20
我不因短期挫折動搖繼續下去的決心,seed_batch,endurance,endpoint=high;bucket=13-20
不管花多少時間只要值得我就一直做,seed_batch,endurance,endpoint=high;bucket=13-20
別人都放棄時繼續前進是我能做到的,seed_batch,endurance,endpoint=high;bucket=13-20
先放棄,seed_batch,endurance,endpoint=low;bucket=1-5
太累了,seed_batch,endurance,endpoint=low;bucket=1-5
受不了,seed_batch,endurance,endpoint=low;bucket=1-5
沒耐性,seed_batch,endurance,endpoint=low;bucket=1-5
不想撐,seed_batch,endurance,endpoint=low;bucket=1-5
撐不住,seed_batch,endurance,endpoint=low;bucket=1-5
遇到困難就想退縮,seed_batch,endurance,endpoint=low;bucket=6-12
我很容易覺得很累,seed_batch,endurance,endpoint=low;bucket=6-12
沒有快速回報不想做,seed_batch,endurance,endpoint=low;bucket=6-12
我堅持不了太久,seed_batch,endurance,endpoint=low;bucket=6-12
反覆嘗試讓我精疲力竭,seed_batch,endurance,endpoint=low;bucket=6-12
長時間等待讓我崩潰,seed_batch,endurance,endpoint=low;bucket=6-12
見到困難我就想停,seed_batch,endurance,endpoint=low;bucket=6-12
做到一半沒有進展就會選擇停下來,seed_batch,endurance,endpoint=low;bucket=13-20
長時間沒回報的事很難維持動力做,seed_batch,endurance,endpoint=low;bucket=13-20
需要長期投入才能見效的事缺乏耐心,seed_batch,endurance,endpoint=low;bucket=13-20
連續失敗我的意志力很快就耗盡了,seed_batch,endurance,endpoint=low;bucket=13-20
我很容易在困難面前失去繼續的勇氣,seed_batch,endurance,endpoint=low;bucket=13-20
結果看起來越來越遠就不想繼續了,seed_batch,endurance,endpoint=low;bucket=13-20
我無法長期做沒有即時成就感的事,seed_batch,endurance,endpoint=low;bucket=13-20
想知道,seed_batch,curiosity,endpoint=high;bucket=1-5
好奇心,seed_batch,curiosity,endpoint=high;bucket=1-5
愛探索,seed_batch,curiosity,endpoint=high;bucket=1-5
愛發現,seed_batch,curiosity,endpoint=high;bucket=1-5
喜嘗試,seed_batch,curiosity,endpoint=high;bucket=1-5
愛學習,seed_batch,curiosity,endpoint=high;bucket=1-5
我對任何新事物有興趣,seed_batch,curiosity,endpoint=high;bucket=6-12
未知讓我感到興奮,seed_batch,curiosity,endpoint=high;bucket=6-12
我喜歡嘗試沒做過的,seed_batch,curiosity,endpoint=high;bucket=6-12
探索不熟悉的領域讓我快樂,seed_batch,curiosity,endpoint=high;bucket=6-12
我對世界充滿好奇心,seed_batch,curiosity,endpoint=high;bucket=6-12
問題越複雜我越想搞清楚,seed_batch,curiosity,endpoint=high;bucket=6-12
學習新東西是最大快樂,seed_batch,curiosity,endpoint=high;bucket=6-12
我對各種領域都有濃厚的探索慾望,seed_batch,curiosity,endpoint=high;bucket=13-20
任何我不了解的事都讓我想深入研究,seed_batch,curiosity,endpoint=high;bucket=13-20
走進從未去過的地方是一種享受,seed_batch,curiosity,endpoint=high;bucket=13-20
我願意花很多時間深入了解感興趣的事,seed_batch,curiosity,endpoint=high;bucket=13-20
好奇心是推動我不斷學習的最大動力,seed_batch,curiosity,endpoint=high;bucket=13-20
發現新的東西或想法是最純粹的快樂,seed_batch,curiosity,endpoint=high;bucket=13-20
遇到不懂的問題我主動研究直到弄清楚,seed_batch,curiosity,endpoint=high;bucket=13-20
不感興趣,seed_batch,curiosity,endpoint=low;bucket=1-5
懶得知道,seed_batch,curiosity,endpoint=low;bucket=1-5
無所謂啦,seed_batch,curiosity,endpoint=low;bucket=1-5
不想探索,seed_batch,curiosity,endpoint=low;bucket=1-5
夠了不學,seed_batch,curiosity,endpoint=low;bucket=1-5
已知就好,seed_batch,curiosity,endpoint=low;bucket=1-5
我只關注熟悉的事,seed_batch,curiosity,endpoint=low;bucket=6-12
新事物讓我不安,seed_batch,curiosity,endpoint=low;bucket=6-12
太多新知讓我疲累,seed_batch,curiosity,endpoint=low;bucket=6-12
我不需要了解所有,seed_batch,curiosity,endpoint=low;bucket=6-12
熟悉的事做就好了,seed_batch,curiosity,endpoint=low;bucket=6-12
未知的事讓我害怕,seed_batch,curiosity,endpoint=low;bucket=6-12
我專注於已知知識,seed_batch,curiosity,endpoint=low;bucket=6-12
我覺得鑽研太多無關知識是浪費精力,seed_batch,curiosity,endpoint=low;bucket=13-20
對熟悉的事才有安全感不想探索新的,seed_batch,curiosity,endpoint=low;bucket=13-20
我偏好在擅長範圍內深耕而不跨界,seed_batch,curiosity,endpoint=low;bucket=13-20
太多新事物同時出現會讓我感到壓力,seed_batch,curiosity,endpoint=low;bucket=13-20
未知的事物對我是負擔而不是機會,seed_batch,curiosity,endpoint=low;bucket=13-20
我不需要把所有事搞懂夠用就好了,seed_batch,curiosity,endpoint=low;bucket=13-20
對太陌生的事我更傾向觀望不主動了解,seed_batch,curiosity,endpoint=low;bucket=13-20
我有時有主見有時隨遇而安,seed_batch,assertiveness,endpoint=mixed;bucket=6-12
對未來既有期待也有擔憂,seed_batch,optimism,endpoint=mixed;bucket=6-12
視情況選擇信任或懷疑,seed_batch,suspicion,endpoint=mixed;bucket=6-12
堅持或放棄取決於事情意義,seed_batch,endurance,endpoint=mixed;bucket=6-12
新舊事物我都能接受,seed_batch,curiosity,endpoint=mixed;bucket=6-12
我不算特別強勢也不算被動,seed_batch,assertiveness,endpoint=mixed;bucket=6-12
樂觀悲觀視每天的心情而定,seed_batch,optimism,endpoint=mixed;bucket=6-12
我的耐性隨目標重要性改變,seed_batch,endurance,endpoint=mixed;bucket=6-12
我既享受安全感也渴望探索,seed_batch,curiosity,endpoint=mixed;bucket=6-12
陌生人我會先觀察再決定信任,seed_batch,suspicion,endpoint=mixed;bucket=13-20
